timestamp,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-09-05 10:00:00,4413.83,4460.94,4058.26,4058.26,3.5772,1757069999999,15689.115863,207,3.15390000,13928.46654300,0
2025-09-05 11:00:00,4057.66,4579.98,4054.38,4417.38,119.9423,1757073599999,529838.98789,286,51.55300000,227674.92676800,0
2025-09-05 12:00:00,4417.99,4480.33,4075.19,4467.85,178.568,1757077199999,794818.67407,426,144.04480000,641660.46402400,0
2025-09-05 13:00:00,4474.25,4495.8,4098.62,4440.34,238.5145,1757080799999,1062410.722014,311,213.61600000,951387.75848300,0
2025-09-05 14:00:00,4441.93,4495.8,4072.7,4270.95,221.6543,1757084399999,953877.49037,274,34.81570000,150815.42702400,0
2025-09-05 15:00:00,4270.95,4495.8,3500.0,4280.15,434.2857,1757087999999,1856153.529236,306,40.36510000,173039.24527100,0
2025-09-05 16:00:00,4282.32,4495.8,3460.59,4295.87,43.5191,1757091599999,186059.850789,258,24.42550000,104801.79326900,0
2025-09-05 17:00:00,4296.66,4495.8,4273.0,4289.66,327.8575,1757095199999,1405805.973434,399,169.55870000,727039.33436000,0
2025-09-05 18:00:00,4290.76,4316.83,3946.85,4315.08,115.0113,1757098799999,493911.907262,306,57.46510000,246667.69023900,0
2025-09-05 19:00:00,4313.15,4612.48,3658.7,4328.47,99.9664,1757102399999,432501.324519,263,43.17210000,186931.13874400,0
2025-09-05 20:00:00,4334.44,4341.92,4322.74,4338.34,50.4598,1757105999999,218577.053372,161,26.37100000,114225.39014600,0
2025-09-05 21:00:00,4338.34,4795.44,4175.16,4298.44,126.409,1757109599999,546290.19807,378,65.54740000,283473.40217200,0
2025-09-05 22:00:00,4298.39,4319.58,3826.39,4313.0,86.5397,1757113199999,372306.654044,257,49.90830000,214980.95414700,0
2025-09-05 23:00:00,4313.3,4318.72,4305.04,4306.98,58.8754,1757116799999,253783.882614,143,34.77450000,149894.50604900,0
2025-09-06 00:00:00,4306.99,4794.43,4303.02,4324.0,82.8473,1757120399999,357617.603904,195,36.80800000,158953.55996200,0
2025-09-06 01:00:00,4323.01,4794.43,4312.72,4318.18,99.0536,1757123999999,427893.045552,185,47.06640000,203330.63150600,0
2025-09-06 02:00:00,4319.5,5170.45,3344.99,4321.86,94.9733,1757127599999,409558.817414,275,60.81380000,263377.32462400,0
2025-09-06 03:00:00,4322.34,4323.87,4316.86,4319.77,90.6232,1757131199999,391573.996808,167,36.64610000,158328.65975200,0
2025-09-06 04:00:00,4320.3,5169.45,4303.17,4309.22,75.3388,1757134799999,324860.292593,182,28.03430000,120899.72749200,0
2025-09-06 05:00:00,4309.25,4312.47,3150.53,4295.57,92.0889,1757138399999,393604.66062,192,60.65790000,260632.73990300,0
2025-09-06 06:00:00,4295.65,4307.03,4292.95,4302.33,56.8638,1757141999999,244548.874889,147,22.25100000,95685.42816300,0
2025-09-06 07:00:00,4301.79,4312.87,4300.58,4312.27,57.5669,1757145599999,247972.988663,142,28.65090000,123421.16391500,0
2025-09-06 08:00:00,4313.31,4315.05,4305.87,4311.14,57.3718,1757149199999,247263.871708,173,16.30290000,70259.91806800,0
2025-09-06 09:00:00,4311.13,4336.11,4292.69,4292.69,66.2314,1757152799999,284699.634378,203,40.50870000,174084.81722800,0
2025-09-06 10:00:00,4293.96,4303.42,900.0,4300.73,101.4683,1757156399999,435006.847022,273,52.18700000,224150.43844100,0
2025-09-06 11:00:00,4301.47,5406.8,3951.19,4299.89,119.0079,1757159999999,513689.228518,259,58.72160000,254964.67799200,0
2025-09-06 12:00:00,4299.62,4306.72,3961.23,4299.21,74.958,1757163599999,322302.734085,234,37.29990000,160379.99046000,0
2025-09-06 13:00:00,4298.25,4302.32,4287.42,4293.4,128.0457,1757167199999,550323.874051,192,76.20220000,327552.26837100,0
2025-09-06 14:00:00,4292.89,4727.78,4292.01,4295.09,172.9892,1757170799999,743535.691893,210,101.33300000,435668.84041300,0
2025-09-06 15:00:00,4296.14,4709.49,4265.87,4270.38,67.1571,1757174399999,287479.583271,212,41.12720000,176127.90690700,0
2025-09-06 16:00:00,4270.38,4337.77,4241.75,4288.59,64.8452,1757177999999,276663.107036,234,33.37890000,142373.88329600,0
2025-09-06 17:00:00,4288.31,4291.33,4233.18,4273.91,83.4995,1757181599999,357274.910362,176,50.61740000,216590.04835400,0
2025-09-06 18:00:00,4272.96,4286.67,4270.8,4279.44,61.4348,1757185199999,262798.104587,159,39.70790000,169874.44755500,0
2025-09-06 19:00:00,4278.36,4281.08,4252.15,4255.36,54.1131,1757188799999,230922.820522,179,19.79650000,84368.90650700,0
2025-09-06 20:00:00,4254.79,4918.14,4253.83,4277.74,57.6938,1757192399999,247452.000027,230,37.69340000,162167.23424700,0
2025-09-06 21:00:00,4278.74,4701.99,4270.14,4283.74,54.9036,1757195999999,234928.123587,241,27.25240000,116598.00600400,0
2025-09-06 22:00:00,4283.69,4494.43,4270.36,4277.93,58.4277,1757199599999,250002.198143,210,34.55520000,147878.95404600,0
2025-09-06 23:00:00,4277.52,4713.62,4268.29,4272.72,33.8447,1757203199999,144851.508881,186,8.89500000,38067.28373300,0
2025-09-07 00:00:00,4273.95,4707.1,4271.81,4284.53,19.4795,1757206799999,83347.571315,235,13.72760000,58723.63181800,0
2025-09-07 01:00:00,4284.01,4712.12,4283.0,4293.6,80.4452,1757210399999,345444.9837,195,36.77310000,157909.71779100,0
2025-09-07 02:00:00,4295.13,4295.13,4289.02,4293.46,4.6096,1757213999999,19783.309666,53,2.77910000,11931.40840200,0
